benchmark,model,score,std
arc_challenge,Llama-2-7B Baseline,0.462457,0
arc_challenge,Llama-2-7B Distilled,0.5122,0.0045
arc_challenge,Llama-2-7B GaussMark,0.452503,0.00628935
arc_challenge,Llama-2-7B OpenStamp,0.503129,0.00177617
arc_challenge,Llama-2-7B Unremovable,0.5022753128555176,0.0040821103795242765
arc_challenge,Mistral-7B Baseline,0.593003,0
arc_challenge,Mistral-7B Distilled,0.5267,0.0113
arc_challenge,Mistral-7B GaussMark,0.578498,0.00225747
arc_challenge,Mistral-7B OpenStamp,0.582765,0.00559508
arc_challenge,Mistral-7B Unremovable,0.5651308304891923,0.009761662287673759
boolq,Llama-2-7B Baseline,0.77737,0
boolq,Llama-2-7B Distilled,0.7705,0.0195
boolq,Llama-2-7B GaussMark,0.773394,0.00397554
boolq,Llama-2-7B OpenStamp,0.775331,0.00445617
boolq,Llama-2-7B Unremovable,0.6434250764525994,0.11407534002825154
boolq,Mistral-7B Baseline,0.841896,0
boolq,Mistral-7B Distilled,0.7718,0.0537
boolq,Mistral-7B GaussMark,0.837819,0.00382365
boolq,Mistral-7B OpenStamp,0.837411,0.00631432
boolq,Mistral-7B Unremovable,0.8379204892966361,0.0006606259631404347
hellaswag,Llama-2-7B Baseline,0.759709,0
hellaswag,Llama-2-7B Distilled,0.7715,0.003
hellaswag,Llama-2-7B GaussMark,0.755892,0.00236563
hellaswag,Llama-2-7B OpenStamp,0.76595,0.0017315
hellaswag,Llama-2-7B Unremovable,0.7637588793732988,0.00777007178180712
hellaswag,Mistral-7B Baseline,0.822545,0
hellaswag,Mistral-7B Distilled,0.8007,0.0007
hellaswag,Mistral-7B GaussMark,0.813384,0.000697072
hellaswag,Mistral-7B OpenStamp,0.813683,0.00308703
hellaswag,Mistral-7B Unremovable,0.8109938259310895,0.0024675386762325747
