method,model,seed,tpr_realnewslike,tpr_alpaca_eval,auroc_baseline,auroc_realnewslike,auroc_alpaca_eval,n_seeds
openstamp,Llama-2-7B,12997009,1.000,0.689,1.000,1.000,0.973,1
openstamp,Llama-2-7B,15485863,1.000,0.666,1.000,1.000,0.976,1
openstamp,Llama-2-7B,22983996,1.000,0.741,1.000,1.000,0.982,1
openstamp,Mistral-7B,12997009,1.000,0.452,1.000,1.000,0.961,1
openstamp,Mistral-7B,15485863,0.996,0.446,1.000,0.9998,0.925,1
openstamp,Mistral-7B,22983996,0.999,0.464,1.000,0.9999,0.958,1
gaussmark,Llama-2-7B,12997009,0.760,0.336,0.988,0.977,0.899,1
gaussmark,Llama-2-7B,15485863,0.780,0.196,0.988,0.983,0.854,1
gaussmark,Llama-2-7B,22983996,0.786,0.370,0.988,0.980,0.901,1
gaussmark,Mistral-7B,12997009,0.524,0.156,0.984,0.956,0.814,1
gaussmark,Mistral-7B,15485863,0.650,0.370,0.984,0.969,0.900,1
gaussmark,Mistral-7B,22983996,0.610,0.142,0.984,0.963,0.845,1
distilled,Llama-2-7B,12997009,0.951,0.016,0.999,0.998,0.509,1
distilled,Llama-2-7B,15485863,0.946,0.246,0.999,0.995,0.872,1
distilled,Llama-2-7B,22983996,0.958,0.008,0.999,0.996,0.522,1
distilled,Mistral-7B,12997009,0.970,0.010,1.000,0.998,0.489,1
distilled,Mistral-7B,15485863,0.880,0.166,1.000,0.995,0.802,1
distilled,Mistral-7B,22983996,0.958,0.022,1.000,0.999,0.500,1
unremovable,Llama-2-7B,12997009,0.968,0.650,0.999,0.997,0.985,1
unremovable,Llama-2-7B,15485863,0.954,0.824,0.999,0.995,0.988,1
unremovable,Llama-2-7B,22983996,0.974,0.648,0.999,0.997,0.979,1
unremovable,Mistral-7B,12997009,0.938,0.574,0.996,0.996,0.982,1
unremovable,Mistral-7B,15485863,0.924,0.464,0.996,0.997,0.976,1
unremovable,Mistral-7B,22983996,0.954,0.728,0.996,0.996,0.980,1
