Method,Model,Dataset,StrengthParam,Strength,Gamma,K,NSeeds,TPR@1%FPR,TPR@0.1%FPR,AUROC,PPL
OpenStamp,Llama-2-7b,arxiv,delta,1.0,0.25,254.0,3,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,30.72±2.26
OpenStamp,Llama-2-7b,booksum,delta,1.0,0.25,254.0,3,1.0000±0.0000,0.9993±0.0012,1.0000±0.0000,25.58±3.07
OpenStamp,Llama-2-7b,wikipedia,delta,1.0,0.25,254.0,3,1.0000±0.0000,0.9980±0.0020,1.0000±0.0000,14.44±0.94
OpenStamp,Mistral-7B-v0.3,arxiv,delta,1.0,0.25,254.0,3,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,29.25±1.34
OpenStamp,Mistral-7B-v0.3,booksum,delta,1.0,0.25,254.0,3,0.9980±0.0020,0.9947±0.0015,0.9999±0.0001,25.46±0.32
OpenStamp,Mistral-7B-v0.3,wikipedia,delta,1.0,0.25,254.0,3,0.9971±0.0010,0.9905±0.0038,0.9999±0.0000,12.94±0.59
KGW Distilled,Llama-2-7b,arxiv,delta,2.0,0.25,,3,0.9673±0.0266,0.8865±0.0760,,43.48±0.72
KGW Distilled,Llama-2-7b,booksum,delta,2.0,0.25,,3,0.9782±0.0082,0.9273±0.0352,,28.65±2.38
KGW Distilled,Llama-2-7b,wikipedia,delta,2.0,0.25,,3,0.9327±0.0447,0.8133±0.1412,,16.39±1.74
KGW Distilled,Mistral-7B-v0.3,arxiv,delta,2.0,0.25,,3,0.9960±0.0035,0.9833±0.0110,,44.54±4.59
KGW Distilled,Mistral-7B-v0.3,booksum,delta,2.0,0.25,,3,0.9993±0.0012,0.9983±0.0015,,34.63±2.09
KGW Distilled,Mistral-7B-v0.3,wikipedia,delta,2.0,0.25,,3,0.9892±0.0078,0.8783±0.0956,,20.17±0.86
GaussMark,Llama-2-7b,arxiv,sigma,0.04,,,3,0.9247±0.0352,0.6440±0.2782,0.9956±0.0018,39.97±0.62
GaussMark,Llama-2-7b,booksum,sigma,0.04,,,3,0.9607±0.0076,0.8473±0.0763,0.9977±0.0011,30.45±2.26
GaussMark,Llama-2-7b,wikipedia,sigma,0.04,,,3,0.9087±0.0264,0.7500±0.0269,0.9949±0.0003,17.25±0.64
GaussMark,Mistral-7B-v0.3,arxiv,sigma,0.005,,,3,0.7940±0.0197,0.3947±0.1258,0.9880±0.0019,33.32±2.02
GaussMark,Mistral-7B-v0.3,booksum,sigma,0.005,,,3,0.9367±0.0115,0.8467±0.1255,0.9969±0.0006,26.57±0.48
GaussMark,Mistral-7B-v0.3,wikipedia,sigma,0.005,,,3,0.6873±0.0545,0.3873±0.1993,0.9789±0.0014,14.25±0.44
Unremovable,Llama-2-7b,arxiv,epsilon,0.8,,,3,0.9987±0.0012,0.9967±0.0023,0.9996±0.0006,28.94±1.16
Unremovable,Llama-2-7b,booksum,epsilon,0.8,,,3,0.9993±0.0012,0.9973±0.0031,1.0000±0.0001,25.15±3.28
Unremovable,Llama-2-7b,wikipedia,epsilon,0.8,,,3,0.9707±0.0145,0.8713±0.0420,0.9982±0.0011,14.51±1.59
Unremovable,Mistral-7B-v0.3,arxiv,epsilon,0.8,,,3,0.9987±0.0012,0.9867±0.0127,0.9999±0.0001,26.25±2.72
Unremovable,Mistral-7B-v0.3,booksum,epsilon,0.8,,,3,0.9993±0.0012,0.9947±0.0050,1.0000±0.0000,24.74±1.73
Unremovable,Mistral-7B-v0.3,wikipedia,epsilon,0.8,,,3,0.9667±0.0214,0.8827±0.0810,0.9982±0.0009,13.28±0.66
KGW,Llama-2-7b,arxiv,delta,1.5,0.25,,3,0.9980±0.0020,0.9943±0.0051,0.9993±0.0011,32.29±1.83
KGW,Llama-2-7b,booksum,delta,1.5,0.25,,3,0.9993±0.0012,0.9985±0.0015,1.0000±0.0000,24.09±1.41
KGW,Llama-2-7b,wikipedia,delta,1.5,0.25,,3,0.9716±0.0071,0.9137±0.0365,0.9977±0.0010,13.77±0.64
KGW,Mistral-7B-v0.3,arxiv,delta,1.5,0.25,,3,1.0000±0.0000,0.9980±0.0020,1.0000±0.0000,30.21±2.39
KGW,Mistral-7B-v0.3,booksum,delta,1.5,0.25,,3,0.9993±0.0012,0.9980±0.0020,1.0000±0.0000,24.58±0.73
KGW,Mistral-7B-v0.3,wikipedia,delta,1.5,0.25,,3,0.9709±0.0121,0.9113±0.0918,0.9962±0.0007,13.16±0.62
KGW + LLR,Llama-2-7b,arxiv,delta,1.4,0.25,,3,1.0000±0.0000,0.9940±0.0104,1.0000±0.0000,32.02±1.08
KGW + LLR,Llama-2-7b,booksum,delta,1.4,0.25,,3,1.0000±0.0000,0.9997±0.0006,1.0000±0.0000,23.21±0.43
KGW + LLR,Llama-2-7b,wikipedia,delta,1.4,0.25,,3,0.9987±0.0012,0.9957±0.0035,1.0000±0.0000,12.65±0.44
