Method,Model,Dataset,StrengthParam,Strength,Gamma,K,PPL,TPR@1%FPR,TPR@0.1%FPR,AUROC,OnParetoFrontier,config_id
OpenStamp,Llama-2-7b,realnewslike,delta,0.25,0.25,254,12.0558,0.424281,0.0883333,0.898254,True,watermark=mb_gamma=0.25_delta=0.25_nclusters=254
OpenStamp,Llama-2-7b,realnewslike,delta,0.35,0.25,254,12.2279,0.683088,0.310111,0.971061,True,watermark=mb_gamma=0.25_delta=0.35_nclusters=254
OpenStamp,Llama-2-7b,realnewslike,delta,0.45,0.25,254,12.4745,0.846648,0.672571,0.990405,True,watermark=mb_gamma=0.25_delta=0.45_nclusters=254
OpenStamp,Llama-2-7b,realnewslike,delta,0.55,0.25,254,12.8143,0.9604,0.8715,0.99839,True,watermark=mb_gamma=0.25_delta=0.55_nclusters=254
OpenStamp,Llama-2-7b,realnewslike,delta,0.65,0.25,254,13.0647,0.992,0.959333,0.999581,True,watermark=mb_gamma=0.25_delta=0.65_nclusters=254
OpenStamp,Llama-2-7b,realnewslike,delta,0.725,0.25,254,13.3231,0.999333,0.990083,0.999943,True,watermark=mb_gamma=0.25_delta=0.725_nclusters=254
OpenStamp,Llama-2-7b,realnewslike,delta,0.85,0.25,254,14.221,1,0.999167,0.999998,True,watermark=mb_gamma=0.25_delta=0.85_nclusters=254
OpenStamp,Llama-2-7b,realnewslike,delta,0.9,0.25,254,14.8654,1,0.999333,0.999998,True,watermark=mb_gamma=0.25_delta=0.9_nclusters=254
OpenStamp,Llama-2-7b,realnewslike,delta,0.95,0.25,254,15.1145,1,1,1,True,watermark=mb_gamma=0.25_delta=0.95_nclusters=254
OpenStamp,Llama-2-7b,realnewslike,delta,1,0.25,254,15.3539,1,1,1,True,watermark=mb_gamma=0.25_delta=1.0_nclusters=254
OpenStamp,Llama-2-7b,realnewslike,delta,1.1,0.25,254,16.2983,1,1,1,True,watermark=mb_gamma=0.25_delta=1.1_nclusters=254
OpenStamp,Llama-2-7b,realnewslike,delta,1.2,0.25,254,17.927,1,1,1,True,watermark=mb_gamma=0.25_delta=1.2_nclusters=254
KGW Distilled,Llama-2-7b,realnewslike,delta,1,0.25,,13.5649,0.448,0.15,0.938844,False,watermark=distilled_1
KGW Distilled,Llama-2-7b,realnewslike,delta,1.25,0.25,,14.8385,0.726,0.384,0.979532,False,watermark=distilled_1.25
KGW Distilled,Llama-2-7b,realnewslike,delta,1.5,0.25,,15.4892,0.868,0.642,0.992512,False,watermark=distilled_1.5
KGW Distilled,Llama-2-7b,realnewslike,delta,1.75,0.25,,16.5915,0.962,0.848,0.996474,False,watermark=distilled_1.75
KGW Distilled,Llama-2-7b,realnewslike,delta,2,0.25,,18.0473,0.986,0.943,0.999472,False,watermark=distilled_2
GaussMark,Llama-2-7b,realnewslike,sigma,0.025,,,13.3118,0.546667,0.351333,0.951917,False,watermark=gaussmark_sigma=0.025_param=model.layers.27.mlp.up_proj.weight
GaussMark,Llama-2-7b,realnewslike,sigma,0.03,,,13.7615,0.686667,0.519333,0.971219,False,watermark=gaussmark_sigma=0.03_param=model.layers.27.mlp.up_proj.weight
GaussMark,Llama-2-7b,realnewslike,sigma,0.035,,,14.461,0.792,0.628667,0.983824,False,watermark=gaussmark_sigma=0.035_param=model.layers.27.mlp.up_proj.weight
GaussMark,Llama-2-7b,realnewslike,sigma,0.04,,,15.7723,0.871333,0.750667,0.992075,False,watermark=gaussmark_sigma=0.04_param=model.layers.27.mlp.up_proj.weight
GaussMark,Llama-2-7b,realnewslike,sigma,0.045,,,17.4666,0.934,0.842,0.996516,False,watermark=gaussmark_sigma=0.045_param=model.layers.27.mlp.up_proj.weight
KGW,Llama-2-7b,realnewslike,delta,0.7,0.25,,12.4891,0.5976,0.304333,0.961195,False,watermark=kgw_gamma=0.25_delta=0.7
KGW,Llama-2-7b,realnewslike,delta,0.8,0.25,,12.6403,0.746267,0.454167,0.978032,False,watermark=kgw_gamma=0.25_delta=0.8
KGW,Llama-2-7b,realnewslike,delta,0.9,0.25,,12.6423,0.836933,0.599333,0.987875,False,watermark=kgw_gamma=0.25_delta=0.9
KGW,Llama-2-7b,realnewslike,delta,1,0.25,,12.9789,0.9082,0.723833,0.99323,False,watermark=kgw_gamma=0.25_delta=1.0
KGW,Llama-2-7b,realnewslike,delta,1.1,0.25,,13.4162,0.948067,0.832,0.996857,False,watermark=kgw_gamma=0.25_delta=1.1
KGW,Llama-2-7b,realnewslike,delta,1.3,0.25,,13.6846,0.984467,0.944667,0.99927,False,watermark=kgw_gamma=0.25_delta=1.3
KGW,Llama-2-7b,realnewslike,delta,1.4,0.25,,14.1105,0.994467,0.9745,0.999727,False,watermark=kgw_gamma=0.25_delta=1.4
KGW,Llama-2-7b,realnewslike,delta,1.5,0.25,,14.7551,0.996667,0.985,0.999856,False,watermark=kgw_gamma=0.25_delta=1.5
KGW,Llama-2-7b,realnewslike,delta,1.6,0.25,,15.4198,0.998333,0.991167,0.999926,False,watermark=kgw_gamma=0.25_delta=1.6
KGW,Llama-2-7b,realnewslike,delta,2,0.25,,17.0282,1,0.999,0.999996,True,watermark=kgw_gamma=0.25_delta=2.0
KGW + LLR,Llama-2-7b,realnewslike,delta,0.5,0.25,,12.2327,0.458714,0.188139,0.925787,False,watermark=kgw_llr_gamma=0.25_delta=0.5
KGW + LLR,Llama-2-7b,realnewslike,delta,0.6,0.25,,12.3558,0.646,0.365,0.964884,False,watermark=kgw_llr_gamma=0.25_delta=0.6
KGW + LLR,Llama-2-7b,realnewslike,delta,0.7,0.25,,12.4891,0.791944,0.586333,0.984329,False,watermark=kgw_llr_gamma=0.25_delta=0.7
KGW + LLR,Llama-2-7b,realnewslike,delta,0.9,0.25,,12.6423,0.949836,0.889667,0.997904,True,watermark=kgw_llr_gamma=0.25_delta=0.9
KGW + LLR,Llama-2-7b,realnewslike,delta,1,0.25,,12.9789,0.985867,0.9525,0.999295,True,watermark=kgw_llr_gamma=0.25_delta=1.0
KGW + LLR,Llama-2-7b,realnewslike,delta,1.1,0.25,,13.4162,0.998033,0.981333,0.999887,False,watermark=kgw_llr_gamma=0.25_delta=1.1
KGW + LLR,Llama-2-7b,realnewslike,delta,1.2,0.25,,13.7354,0.9992,0.990667,0.999964,False,watermark=kgw_llr_gamma=0.25_delta=1.2
KGW + LLR,Llama-2-7b,realnewslike,delta,1.4,0.25,,14.1105,1,1,1,True,watermark=kgw_llr_gamma=0.25_delta=1.4
KGW + LLR,Llama-2-7b,realnewslike,delta,1.5,0.25,,14.7551,1,1,1,True,watermark=kgw_llr_gamma=0.25_delta=1.5
KGW + LLR,Llama-2-7b,realnewslike,delta,1.6,0.25,,15.5018,1,1,1,True,watermark=kgw_llr_gamma=0.25_delta=1.6
KGW + LLR,Llama-2-7b,realnewslike,delta,1.7,0.25,,15.8286,1,1,1,True,watermark=kgw_llr_gamma=0.25_delta=1.7
